titel	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	srt	Naam	Type	toevoeging	bezoekadres	Postcode	Plaats	postadres	post_pc	tel	fax	email	internet	directie	stadsdeel	brin	Meer info van DMO
Joop Westerweelschool	joop_westerweelschool		0000-00-00 00:00:00	Balboaplein 44	1057 VS		POINT(4.85617 52.36886)		Amsterdam	Basisschool	PO	Joop Westerweelschool	Openbaar		Balboaplein 44	1057 VS	Amsterdam	Balboaplein 44	1057VS Amsterdam	612 55 39		h.haanraadts@joopwesterweelschool.nl	www.joopwesterweelschool.nl	H. Haanraadts	West	18ZX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/18ZX00.htm
Basisschool De Kaap	basisschool_de_kaap		0000-00-00 00:00:00	Christiaan de Wetstraat 23	1091 NG		POINT(4.91894 52.35424)		Amsterdam	Basisschool	PO	Basisschool De Kaap	Openbaar		Christiaan de Wetstraat 23	1091 NG	Amsterdam	Christiaan de Wetstraat 23	1091NG Amsterdam	693 93 75	663 68 70	directie@obsdekaap.nl	www.obsdekaap.nl	E. Stam	Oost	19AI00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19AI00.htm
Basisschool De Dapper	basisschool_de_dapper		0000-00-00 00:00:00	Pieter Nieuwlandstraat 3	1093 XG		POINT(4.92638 52.36148)		Amsterdam	Basisschool	PO	Basisschool De Dapper	Openbaar		Pieter Nieuwlandstraat 3	1093 XG	Amsterdam	Pieter Nieuwlandstraat 3	1093XG Amsterdam	693 91 00	663 64 05	w.rossum@bsdedapper.nl	www.bsdedapper.nl	mw. W. van Rossum (dir.) en mw. H. Gels (adj.dir.)	Oost	19AQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19AQ00.htm
O.B.S. Corantijn	o_b_s_corantijn		0000-00-00 00:00:00	Corantijnstraat 4	1058 DD		POINT(4.85253 52.362)		Amsterdam	Basisschool	PO	O.B.S. Corantijn	Openbaar		Corantijnstraat 4	1058 DD	Amsterdam	Corantijnstraat 4	1058DD Amsterdam	618 44 30		info@obscorantijn.nl	www.corantijnschool.nl	mw. A.C. Schuil	West	19AZ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19AZ00.htm
Basisschool Cornelis Jetses	basisschool_cornelis_jetses		0000-00-00 00:00:00	Jaargetijden 6	1109 AR		POINT(5.01923 52.30571)		Amsterdam Zuidoost	Basisschool	PO	Basisschool Cornelis Jetses	Openbaar		Jaargetijden 6	1109 AR	Amsterdam Zuidoost	Jaargetijden 6	1109AR Amsterdam Zuidoost	0294-41 43 70		info@cjetses.nl	www.cjetses.nl	mw. M. van Gaalen (Locatieleider)	Zuidoost	19BH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19BH00.htm
2e Daltonschool	2e_daltonschool		0000-00-00 00:00:00	Willem Witsenstraat 10	1077 AZ		POINT(4.86982 52.35142)		Amsterdam	Basisschool	PO	2e Daltonschool	Openbaar	genaamd Pieter Bakkum	Willem Witsenstraat 10	1077 AZ	Amsterdam	Willem Witsenstraat 10	1077AZ Amsterdam	673 69 25	679 47 02	info@2edalton.nl	www.2edalton.nl	mw. C.G.H. Dijkzeul	Zuid	19BO00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19BO00.htm
3e Daltonbasisschool	3e_daltonbasisschool		0000-00-00 00:00:00	Van Ostadestraat 203	1073 TN		POINT(4.8979001 52.3531685)		Amsterdam	Basisschool	PO	3e Daltonbasisschool	Openbaar	genaamd Alberdingk Thijm	Van Ostadestraat 203	1073 TN	Amsterdam	Van Ostadestraat 203	1073TN Amsterdam	662 44 80	470 57 52	directie@derdedalton.nl	www.derdedalton.nl	dhr. M. Wormhoudt (dir.) en dhr. H.P.M. Capel (adj.dir.)	Zuid	19BS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19BS00.htm
3e Daltonbasisschool	3e_daltonbasisschool_1		0000-00-00 00:00:00	Van Ostadestraat 272	1072 TV		POINT(4.89853 52.3530884)		Amsterdam	Basisschool	PO	3e Daltonbasisschool	Openbaar	genaamd Alberdingk Thijm	Van Ostadestraat 272	1072 TV	Amsterdam	Van Ostadestraat 203	1073TN Amsterdam	676 62 24		directie@derdedalton.nl	www.derdedalton.nl	dhr. M. Wormhoudt (dir.) en dhr. H.P.M. Capel (adj.dir.)	Zuid	19BS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19BS00.htm
Dongeschool	dongeschool		0000-00-00 00:00:00	Dintelstraat 5-7	1078 VN		POINT(4.8931398 52.3457718)		Amsterdam	Basisschool	PO	Dongeschool	Openbaar		Dintelstraat 5-7	1078 VN	Amsterdam	Dintelstraat 5-7	1078VN Amsterdam	664 12 88		administratie@dongeschool.nl	www.dongeschool.nl	dhr. R. van Veldhuizen	Zuid	19BW00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19BW00.htm
Basisschool De Springstok	basisschool_de_springstok		0000-00-00 00:00:00	Tweede Jan van der Heijdenstraat 75-77	1074 XR		POINT(4.9024601 52.3561287)		Amsterdam	Basisschool	PO	Basisschool De Springstok	Openbaar	Bredeschool in het Jan van der Heijdenhuis	Tweede Jan van der Heijdenstraat 75-77	1074 XR	Amsterdam	Tweede Jan van der Heijdenstraat 75-77	1074XR Amsterdam	664 86 70	664 92 50	info@janvanderheijdenhuis.nl	www.janvanderheijdenhuis.nl	dhr. J. van der Beek (alg.dir.)	Zuid	19CA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19CA00.htm
Community Center Einstein	community_center_einstein		0000-00-00 00:00:00	Staalmanpark 10	1066 BR		POINT(0 0)		Amsterdam	Basisschool	PO	Community Center Einstein	Openbaar		Staalmanpark 10	1066 BR	Amsterdam	Staalmanpark 10	1066BR Amsterdam	760 00 61		info@einsteinschool.nl		dhr. F. van Haag	Nieuw-West	19CD00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19CD00.htm
Flevoparkschool	flevoparkschool		0000-00-00 00:00:00	Soembawastraat 61	1095 VX		POINT(4.9440198 52.3635483)		Amsterdam	Basisschool	PO	Flevoparkschool	Openbaar		Soembawastraat 61	1095 VX	Amsterdam	Postbus 92105	1090AC Amsterdam	694 25 91	692 63 11	directie@flevoparkschool.nl	www.flevoparkschool.nl		Oost	19CH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19CH00.htm
Flevoparkschool	flevoparkschool_1		0000-00-00 00:00:00	C. van Eesterenlaan 50	1019 JN		POINT(4.9381299 52.3725204)		Amsterdam	Basisschool	PO	Flevoparkschool	Openbaar		C. van Eesterenlaan 50	1019 JN	Amsterdam	Postbus 92105	1090AC Amsterdam	419 11 33		directie@flevoparkschool.nl	www.flevoparkschool.nl		Oost	19CH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19CH00.htm
Goeman Borgesiusschool	goeman_borgesiusschool		0000-00-00 00:00:00	Aalbersestraat 35	1067 EZ		POINT(4.7972598 52.3769684)		Amsterdam	Basisschool	PO	Goeman Borgesiusschool	Openbaar		Aalbersestraat 35	1067 EZ	Amsterdam	Aalbersestraat 35	1067EZ Amsterdam	613 18 07	613 43 62	info@goemanborgesiusschool.nl	www.goemanborgesiusschool.nl	mw. L.H. de Vries-Ponse	Nieuw-West	19ZG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/19ZG00.htm
Holendrechtschool	holendrechtschool		0000-00-00 00:00:00	Holendrechtplein 40	1106 LP		POINT(4.9653602 52.2991219)		Amsterdam Zuidoost	Basisschool	PO	Holendrechtschool	Openbaar		Holendrechtplein 40	1106 LP	Amsterdam Zuidoost	Holendrechtplein 40	1106LP Amsterdam Zuidoost	453 15 49		school@holendrechtschool.nl	www.holendrechtschool.nl	mw. L. te Vrede-Elshot (dir.) en dhr. Tromp (adj.dir.)	Zuidoost	20SC00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SC00.htm
Huizingaschool	huizingaschool		0000-00-00 00:00:00	Jacob Geelstraat 54	1065 VT		POINT(4.8309698 52.3596687)		Amsterdam	Basisschool	PO	Huizingaschool	Openbaar		Jacob Geelstraat 54	1065 VT	Amsterdam	Jacob Geelstraat 54	1065VT Amsterdam	615 25 23	617 51 90	info@huizingaschool.nl	www.huizingaschool.nl	dhr. M. van Oostveen (dir.) en  dhr. F. v. Haag (adj.dir.)	Nieuw-West	20SE00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SE00.htm
Brede School De Kinkerbuurt 	brede_school_de_kinkerbuurt		0000-00-00 00:00:00	Borgerstraat 109	1053 PE		POINT(4.8657498 52.3646698)		Amsterdam	Basisschool	PO	Brede School De Kinkerbuurt 	Openbaar		Borgerstraat 109	1053 PE	Amsterdam	Borgerstraat 109	1053PE Amsterdam	612 01 77		info@kinkerbuurtschool.nl	www.kinkerbuurtschool.nl	mw. R.D. Schoufour en mw. M. Schoute	West	20SG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SG00.htm
IJpleinschool	ijpleinschool		0000-00-00 00:00:00	Gedempte Insteekhaven 85	1021 RA		POINT(4.9135399 52.3816185)		Amsterdam	Basisschool	PO	IJpleinschool	Openbaar		Gedempte Insteekhaven 85	1021 RA	Amsterdam	Gedempte Insteekhaven 85	1021RA Amsterdam	634 10 46	634 48 40	info@ijpleinschool.nl	www.ijpleinschool.nl	mw. G.H.M. Janssen (dir.) en dhr. R. van Zanten (adj.dir.)	Noord	20SH00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SH00.htm
Linnaeusschool	linnaeusschool		0000-00-00 00:00:00	Derde Oosterparkstraat 360	1092 SE		POINT(4.9253302 52.3586807)		Amsterdam	Basisschool	PO	Linnaeusschool	Openbaar		Derde Oosterparkstraat 360	1092 SE	Amsterdam	Derde Oosterparkstraat 360	1092SE Amsterdam	665 53 94		dir@linnaeusschool.nl	www.linnaeusschool.nl	dhr. R. Verhoef	Oost	20SJ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SJ00.htm
Louis Bouwmeesterschool	louis_bouwmeesterschool		0000-00-00 00:00:00	Louis Bouwmeesterstraat 14	1065 KW		POINT(4.8210602 52.35569)		Amsterdam	Basisschool	PO	Louis Bouwmeesterschool	Openbaar	Dalton	Louis Bouwmeesterstraat 14	1065 KW	Amsterdam	Louis Bouwmeesterstraat 14	1065KW Amsterdam	615 03 81	615 44 61	info@louisbouwmeesterschool.nl	www.louisbouwmeesterschool.nl	mw. I. van der Meulen	Nieuw-West	20SK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SK00.htm
O.B.S. Ru Par�	o_b_s_ru_pare		0000-00-00 00:00:00	Chris Lebeaustraat 4	1062 DC		POINT(4.8384299 52.3625717)		Amsterdam	Basisschool	PO	O.B.S. Ru Par�	Openbaar		Chris Lebeaustraat 4	1062 DC	Amsterdam	Chris Lebeaustraat 4	1062DC Amsterdam	615 24 00		directie@rupare.nl	www.rupare.nl	dhr. W. Ponsen	Nieuw-West	20SL00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20SL00.htm
O.B.S. De Ster	o_b_s_de_ster		0000-00-00 00:00:00	Woudrichemstraat 8	1107 NG		POINT(4.98769 52.294281)		Amsterdam Zuidoost	Basisschool	PO	O.B.S. De Ster	Openbaar		Woudrichemstraat 8	1107 NG	Amsterdam Zuidoost	Woudrichemstraat 8	1107NG Amsterdam Zuidoost	696 78 66	696 62 46	mail2@obsdester.nl	www.obsdester.nl	mw. M. Nieuwstad	Zuidoost	20TP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TP00.htm
O.B.S. Rosa Boekdrukker	o_b_s_rosa_boekdrukker		0000-00-00 00:00:00	Vancouverstraat 3-5	1056 DT		POINT(4.85533 52.3731918)		Amsterdam	Basisschool	PO	O.B.S. Rosa Boekdrukker	Openbaar		Vancouverstraat 3-5	1056 DT	Amsterdam	Vancouverstraat 3-5	1056DT Amsterdam	612 80 00	489 23 72	directie@rosaboekdrukker.net	www.rosaboekdrukker.net	dhr. G.D.M. Prenger (dir.) en mw. M. Roemers (adj.dir.)	West	20TQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TQ00.htm
Merkelbachschool	merkelbachschool		0000-00-00 00:00:00	Arent Janszoon Ernststraat 128	1082 LP		POINT(4.87779 52.3326797)		Amsterdam	Basisschool	PO	Merkelbachschool	Openbaar		Arent Janszoon Ernststraat 128	1082 LP	Amsterdam	Arent Janszoon Ernststraat 128	1082LP Amsterdam	642 88 45		directie@merkelbachschool.nl	www.merkelbachschool.nl	dhr. R. Blikman	Zuid	20TR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TR00.htm
1e Montessorischool De Wielewaal	1e_montessorischool_de_wielewaal		0000-00-00 00:00:00	Corellistraat 1	1077 HA		POINT(4.8794498 52.3492584)		Amsterdam	Basisschool	PO	1e Montessorischool De Wielewaal	Openbaar	1e Montessorischool	Corellistraat 1	1077 HA	Amsterdam	Corellistraat 1	1077HA Amsterdam	673 61 93		info@eerstemontessori.nl	www.eerstemontessori.nl	mw. I. van Woensel	Zuid	20TS00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TS00.htm
2e Montessorischool Het Winterkoninkje	2e_montessorischool_het_winterkoninkje		0000-00-00 00:00:00	Hasebroekstraat 113	1053 CS		POINT(4.8615499 52.3652496)		Amsterdam	Basisschool	PO	2e Montessorischool Het Winterkoninkje	Openbaar	2e Montessorischool	Hasebroekstraat 113	1053 CS	Amsterdam	Hasebroekstraat 113	1053CS Amsterdam	618 85 63	685 40 33	info@winterkoninkje.nl	www.winterkoninkje.nl	mw. P. Toor	West	20TT00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TT00.htm
2e Montessorischool Het Winterkoninkje	2e_montessorischool_het_winterkoninkje_1		0000-00-00 00:00:00	Jan Pieter Heijestraat 45	1053 GK		POINT(4.8629999 52.3653183)		Amsterdam	Basisschool	PO	2e Montessorischool Het Winterkoninkje	Openbaar	2e Montessorischool	Jan Pieter Heijestraat 45	1053 GK	Amsterdam	Hasebroekstraat 113	1053CS Amsterdam	683 11 58	685 40 33	info@winterkoninkje.nl	www.winterkoninkje.nl	mw. P. Toor	West	20TT00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TT00.htm
4e Montessorischool De Pinksterbloem	4e_montessorischool_de_pinksterbloem		0000-00-00 00:00:00	Weesperzijde 57	1091 EG		POINT(4.9085398 52.3547516)		Amsterdam	Basisschool	PO	4e Montessorischool De Pinksterbloem	Openbaar	4e Montessorischool	Weesperzijde 57	1091 EG	Amsterdam	Weesperzijde 57	1091EG Amsterdam	694 11 89	663 65 45	info@depinksterbloem.nl	www.depinksterbloem.nl	mw. S. Reinold (dir.) en mw. V. Ligterink (adj.dir.)	Oost	20TV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TV00.htm
5e Montessorischool Watergraafsmeer	5e_montessorischool_watergraafsmeer		0000-00-00 00:00:00	Herschelstraat 2-4	1098 JA		POINT(4.93784 52.3540916)		Amsterdam	Basisschool	PO	5e Montessorischool Watergraafsmeer	Openbaar	Watergraafsmeer	Herschelstraat 2-4	1098 JA	Amsterdam	Herschelstraat 2-4	1098JA Amsterdam	694 62 08		info@5mw.nl	www.5mw.nl	dhr. H. Gigengack (dir.) en mw. I. den Boer (adj.dir.)	Oost	20TW00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TW00.htm
6e Montessorischool Anne Frank	6e_montessorischool_anne_frank		0000-00-00 00:00:00	Niersstraat 41	1078 VJ		POINT(4.8935699 52.3426399)		Amsterdam	Basisschool	PO	6e Montessorischool Anne Frank	Openbaar	6e Montessorischool	Niersstraat 41	1078 VJ	Amsterdam	Niersstraat 41	1078VJ Amsterdam	664 04 82	673 28 20	info@annefrank-montessori.nl	www.annefrank-montessori.nl	dhr. S. Moll	Zuid	20TX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TX00.htm
9e Montessorischool De Scholekster	9e_montessorischool_de_scholekster		0000-00-00 00:00:00	Karel du Jardinstraat 76	1073 TE		POINT(4.8969498 52.3512802)		Amsterdam	Basisschool	PO	9e Montessorischool De Scholekster	Openbaar	9e Montessorischool	Karel du Jardinstraat 76	1073 TE	Amsterdam	Karel du Jardinstraat 76	1073TE Amsterdam	679 02 28		info@descholekster.nl	www.descholekster.nl	mw. T. S�ss	Zuid	20TX01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TX01.htm
15e Montessorischool Maas en Waal	15e_montessorischool_maas_en_waal		0000-00-00 00:00:00	Uiterwaardenstraat 544	1079 AZ		POINT(4.8997202 52.3433914)		Amsterdam	Basisschool	PO	15e Montessorischool Maas en Waal	Openbaar	School van Maas en Waal	Uiterwaardenstraat 544	1079 AZ	Amsterdam	Uiterwaardenstraat 544	1079AZ Amsterdam	644 71 73		info@maas-waal.nl	www.maas-waal.nl	mw. D. Keijner	Zuid	20TX02	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TX02.htm
12e Montessorischool De Stern	12e_montessorischool_de_stern		0000-00-00 00:00:00	Arent Janszoon Ernststraat 130	1082 LP		POINT(4.8778901 52.3326912)		Amsterdam	Basisschool	PO	12e Montessorischool De Stern	Openbaar	De Stern	Arent Janszoon Ernststraat 130	1082 LP	Amsterdam	Arent Janszoon Ernststraat 130	1082LP Amsterdam	644 20 76	442 10 17	info@detwaalfde.nl	www.detwaalfde.nl	mw. Th. Heine	Zuid	20TX03	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20TX03.htm
7e Montessorischool	7e_montessorischool		0000-00-00 00:00:00	Nachtwachtlaan 35	1058 EB		POINT(4.8435898 52.3605995)		Amsterdam	Basisschool	PO	7e Montessorischool	Openbaar	Montessori	Nachtwachtlaan 35	1058 EB	Amsterdam	Nachtwachtlaan 35	1058EB Amsterdam	683 66 46	616 41 83	info@7emontessori.nl	www.7emontessori.nl	dhr. J. Boekhout (dir.) en mw. E.S. Meilof (adj.dir.)	Nieuw-West	20UP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20UP00.htm
10e Montessorischool De Meidoorn	10e_montessorischool_de_meidoorn		0000-00-00 00:00:00	Chass�straat 59	1057 JA		POINT(4.8613801 52.3690491)		Amsterdam	Basisschool	PO	10e Montessorischool De Meidoorn	Openbaar	10e Montessorischool	Chass�straat 59	1057 JA	Amsterdam	Chass�straat 59	1057JA Amsterdam	616 01 06		directie@10emeidoorn.nl	www.10emeidoorn.nl	dhr. F.P. Renz (dir.) en mw. J.M. Buitenhuis-Boxman (adj.dir.)	West	20UV00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20UV00.htm
14e Montessorischool De Jordaan	14e_montessorischool_de_jordaan		0000-00-00 00:00:00	Elandsstraat 99	1016 RX		POINT(4.8810301 52.3704681)		Amsterdam	Basisschool	PO	14e Montessorischool De Jordaan	Openbaar	montessori	Elandsstraat 99	1016 RX	Amsterdam	Elandsstraat 99	1016RX Amsterdam	623 99 00		directie@14e-montessori.nl	www.14e-montessori.nl	dhr. R. Steen	Centrum	20VA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VA00.htm
16e Montessorischool Gaasperdam	16e_montessorischool_gaasperdam		0000-00-00 00:00:00	Vreeswijkpad 6	1106 DV		POINT(4.9843102 52.2968597)		Amsterdam Zuidoost	Basisschool	PO	16e Montessorischool Gaasperdam	Openbaar	Gaasperdam	Vreeswijkpad 6	1106 DV	Amsterdam Zuidoost	Vreeswijkpad 6	1106DV Amsterdam Zuidoost	696 32 62		directie@16montessori.nl	www.16montessori.nl	mw. A. Overdiek	Zuidoost	20VE00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VE00.htm
Narcis-Queridoschool	narcis_queridoschool		0000-00-00 00:00:00	Jan den Haenstraat 41	1055 WC		POINT(4.86061 52.3793716)		Amsterdam	Basisschool	PO	Narcis-Queridoschool	Openbaar		Jan den Haenstraat 41	1055 WC	Amsterdam	Jan den Haenstraat 41	1055WC Amsterdam	684 74 24		info@narcisquerido.nl	www.narcisquerido.nl	mw. Maureen Boubaker	West	20VG00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VG00.htm
Openbare Daltonschool Nellestein	openbare_daltonschool_nellestein		0000-00-00 00:00:00	Leksmondplein 31	1108 EL		POINT(4.9805799 52.3087997)		Amsterdam Zuidoost	Basisschool	PO	Openbare Daltonschool Nellestein	Openbaar	Dalton	Leksmondplein 31	1108 EL	Amsterdam Zuidoost	Leksmondplein 31	1108EL Amsterdam Zuidoost	696 45 63		directie@nellestein.nl	www.nellestein.nl	mw. C.M. Jansen (dir.) en dhr. M. Schiphof (adj.dir.)	Zuidoost	20VI00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VI00.htm
Nicolaas Maesschool 	nicolaas_maesschool		0000-00-00 00:00:00	Nicolaas Maesstraat 124-126	1071 RH		POINT(4.8758602 52.3540382)		Amsterdam	Basisschool	PO	Nicolaas Maesschool 	Openbaar		Nicolaas Maesstraat 124-126	1071 RH	Amsterdam	Nicolaas Maesstraat 124-126	1071RH Amsterdam	820 11 24		info@nicolaasmaes.nl	www.nicolaasmaes.nl	mw. Francesca Hand	Zuid	20VJ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VJ00.htm
O.B.S. De Witte Olifant	o_b_s_de_witte_olifant		0000-00-00 00:00:00	Nieuwe Uilenburgerstraat 96	1011 LX		POINT(4.90417 52.3702698)		Amsterdam	Basisschool	PO	O.B.S. De Witte Olifant	Openbaar		Nieuwe Uilenburgerstraat 96	1011 LX	Amsterdam	Nieuwe Uilenburgerstraat 96	1011LX Amsterdam	624 50 00	638 23 65	info@witteolifant.nl	www.witteolifant.nl	mw. A. Jongkoen	Centrum	20VK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VK00.htm
O.B.S. De Witte Olifant	o_b_s_de_witte_olifant_1		0000-00-00 00:00:00	Oude Schans 35	1011 KT		POINT(4.9047542 52.3709068)		Amsterdam	Basisschool	PO	O.B.S. De Witte Olifant	Openbaar		Oude Schans 35	1011 KT	Amsterdam	Nieuwe Uilenburgerstraat 96	1011LX Amsterdam	624 50 00	638 23 65	info@witteolifant.nl	www.witteolifant.nl	mw. A. Jongkoen	Centrum	20VK00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VK00.htm
Pieter Jelles Troelstraschool	pieter_jelles_troelstraschool		0000-00-00 00:00:00	Dr. H. Colijnstraat 2	1067 CG		POINT(4.8064098 52.3755798)		Amsterdam	Basisschool	PO	Pieter Jelles Troelstraschool	Openbaar	Openbare kunstmagneetschool met montessori en jaargroeponderwijs	Dr. H. Colijnstraat 2	1067 CG	Amsterdam	Dr. H. Colijnstraat 2	1067CG Amsterdam	613 52 96	613 71 19	info@troelstraschool.nl	www.troelstraschool.nl	mw. M. Brito de Campos (dir.) en mw. M. Nusse en Ruben Wedekind (adj.dir.)	Nieuw-West	20VN00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VN00.htm
Brede School Annie MG Schmidt	brede_school_annie_mg_schmidt		0000-00-00 00:00:00	Pieter Langendijkstraat 44	1054 ZB		POINT(4.86061 52.3603401)		Amsterdam	Basisschool	PO	Brede School Annie MG Schmidt	Openbaar	hoofdvestiging van L. da Vinci	Pieter Langendijkstraat 44	1054 ZB	Amsterdam	Pieter Langendijkstraat 44	1054ZB Amsterdam	618 29 88	612 67 93	info@amgs.net	www.amgs.net	dhr. A. Martens	West	20VP00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VP00.htm
Leonardo da Vincischool	leonardo_da_vincischool		0000-00-00 00:00:00	Nassaukade 342-A	1053 LW		POINT(4.87606 52.3674698)		Amsterdam	Basisschool	PO	Leonardo da Vincischool	Openbaar	nevenvestiging van Schmidt, A.M.G.	Nassaukade 342-A	1053 LW	Amsterdam	Nassaukade 342-A	1053LW Amsterdam	612 72 67	489 12 91	B.vanweringh@leonardodavincischool.nl	www.leonardodavincischool.nl	mw. drs. B van Weringh 	West	20VP01	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VP01.htm
Basisschool De Waterkant 	basisschool_de_waterkant		0000-00-00 00:00:00	Bilderdijkpark 18	1052 SC		POINT(4.868 52.3716583)		Amsterdam	Basisschool	PO	Basisschool De Waterkant 	Openbaar	Dalton	Bilderdijkpark 18	1052 SC	Amsterdam	Bilderdijkpark 18	1052SC Amsterdam	612 01 22		info@dewaterkant.net	www.dewaterkant.net	mw. E. Ramaekers	West	20VU00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VU00.htm
Basisschool Multatuli	basisschool_multatuli		0000-00-00 00:00:00	Sara Burgerhartstraat 5	1055 KV		POINT(4.8477502 52.3827782)		Amsterdam	Basisschool	PO	Basisschool Multatuli	Openbaar		Sara Burgerhartstraat 5	1055 KV	Amsterdam	Sara Burgerhartstraat 5	1055KV Amsterdam	684 17 40	684 67 93	info@multatulischool.nl	www.obsmultatuli.nl	mw. I. Booms	West	20VX00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20VX00.htm
Basisschool Oscar Carr�	basisschool_oscar_carre		0000-00-00 00:00:00	Eerste Jan van der Heijdenstraat 161	1072 TS		POINT(4.8930802 52.3538513)		Amsterdam	Basisschool	PO	Basisschool Oscar Carr�	Openbaar	Kunstmagneetschool	Eerste Jan van der Heijdenstraat 161	1072 TS	Amsterdam	Eerste Jan van der Heijdenstraat 161	1072TS Amsterdam	679 94 02		info@oscarcarre.nl	www.oscarcarre.nl	mw. A. Hooyberg	Zuid	20XA00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20XA00.htm
Brede School De Zeeheld 	brede_school_de_zeeheld		0000-00-00 00:00:00	Roggeveenstraat 14	1013 PV		POINT(4.8868999 52.3898582)		Amsterdam	Basisschool	PO	Brede School De Zeeheld 	Openbaar		Roggeveenstraat 14	1013 PV	Amsterdam	Roggeveenstraat 14	1013PV Amsterdam	344 50 60	344 50 69	administratie@dezeeheld.nl	www.bredeschooldezeeheld.nl	dhr. Fred Tiecken	West	20XO00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20XO00.htm
Basisschool De Roos	basisschool_de_roos		0000-00-00 00:00:00	Reinier Claeszenplein 12	1056 WB		POINT(4.8615999 52.3741913)		Amsterdam	Basisschool	PO	Basisschool De Roos	Openbaar		Reinier Claeszenplein 12	1056 WB	Amsterdam	Jan van Galenstraat 105	1056BK Amsterdam	612 22 66	489 14 37	info@obs-deroos.nl	www.obs-deroos.nl	dhr. M. Veenstra	West	20XQ00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20XQ00.htm
O.B.S. De Rozemarn	o_b_s_de_rozemarn		0000-00-00 00:00:00	Huntum 16	1102 JA		POINT(4.9612002 52.3090782)		Amsterdam Zuidoost	Basisschool	PO	O.B.S. De Rozemarn	Openbaar	Kunstmagneetschool	Huntum 16	1102 JA	Amsterdam Zuidoost	Huntum 16	1102JA Amsterdam Zuidoost	696 57 52	696 03 98	info@derozemarn.nl	www.derozemarn.nl	L. van Vliet (dir.) en mw. J. Venetiaan (adj.dir.)	Zuidoost	20XR00	http://www.schoolgebouwen.amsterdam.nl/instellingen/paginas/20XR00.htm
